time [s],rudder angle [deg],north position [m],east position [m],yaw angle [deg],forward speed [m/s],sideways speed [m/s],yaw rate [deg/sec],propeller shaft speed [rpm],Throttle [?],commanded load fraction me [-],commanded load fraction hsg [-],power me [kw],available power me [kw],power electrical [kw],available power electrical [kw],power [kw],propulsion power [kw],fuel rate me [kg/s],fuel rate hsg [kg/s],fuel rate [kg/s],fuel consumption me [kg],fuel consumption hsg [kg],fuel consumption [kg],motor torque [Nm],thrust force [kN],max rudder angle [deg],min rudder angle [deg],max propeller shaft speed [rpm]
0.0,-29.999999999999996,6974308.0,81150.0,90.0,7.0,0.0,0.0,400.0,0.75886875,0.75886875,0.39215686274509803,1639.1565,2160.0,200.0,510.0,1839.1565,1639.1565,0.0878124501431851,0.012662798496304839,0.10047524863948994,0.04390622507159255,0.006331399248152419,0.05023762431974497,39038.780697626935,275.46911598875306,30,-30,659.9999999999999
0.5,-29.948577345049834,6974308.0,81153.5,90.0,6.999379183291503,0.052913304817095434,0.005482984803906179,434.3603710461546,0.7732441115545864,0.7732441115545864,0.39215686274509803,1670.2072809579065,2160.0,200.0,510.0,1870.2072809579065,1670.2072809579065,0.08966656795540025,0.012662798496304839,0.10232936645170508,0.08873950904929268,0.012662798496304839,0.10140230754559751,36638.51157846305,324.82789934233705,30,-30,659.9999999999999
1.0,-29.088755056136705,6974307.973543348,81156.99968959164,90.00274149240195,7.002094770765638,0.10464603241009518,0.010915302413892774,463.0643748731605,0.7864651836270974,0.7864651836270974,0.39215686274509803,1698.7647966345305,2160.0,200.0,510.0,1898.7647966345305,1698.7647966345305,0.09140025774147796,0.012662798496304839,0.1040630562377828,0.13443963792003166,0.018994197744457257,0.1534338356644889,34959.771530333805,369.1778818309809,30,-30,659.9999999999999
1.5,-28.22222418600343,6974307.9210528135,81160.50073446946,90.00819914360889,7.007798259897633,0.15498846331186483,0.0160571919676247,487.35757982801016,0.7986009716969115,0.7986009716969115,0.39215686274509803,1724.9780988653288,2160.0,200.0,510.0,1924.9780988653288,1724.9780988653288,0.09301657504401592,0.012662798496304839,0.10567937354032075,0.18094792544203964,0.025325596992609677,0.20627352243464928,33733.16707962394,408.9294445892269,30,-30,659.9999999999999
2.0,-27.373243667920384,6974307.843057168,81164.00462247395,90.01622773959271,7.016168766260866,0.20397529623974964,0.020910848925823046,508.0910349516168,0.8097164611767682,0.8097164611767682,0.39215686274509803,1748.9875561418194,2160.0,200.0,510.0,1948.9875561418194,1748.9875561418194,0.09451867962728927,0.012662798496304839,0.1071814781235941,0.22820726525568427,0.0316569962407621,0.2598642614964463,32809.61260691123,444.4633924135141,30,-30,659.9999999999999
2.5,-26.54194466593198,6974307.7400759375,81167.51267783067,90.02668316405563,7.026912115735471,0.25164669494395503,0.02548498000823307,525.8888068660444,0.8198724073179843,0.8198724073179843,0.39215686274509803,1770.924399806846,2160.0,200.0,510.0,1970.924399806846,1770.924399806846,0.09590979247460021,0.012662798496304839,0.10857259097090505,0.2761621614929844,0.037988395488914514,0.31415055698189887,32098.858070962284,476.1467093287581,30,-30,659.9999999999999
3.0,-25.727808579229087,6974307.6126163555,81171.02607491046,90.03942565405974,7.039759844545655,0.29804109096811,0.02978761096703638,541.2304789481411,0.8291251810553937,0.8291251810553937,0.39215686274509803,1790.9103910796503,2160.0,200.0,510.0,1990.9103910796503,1790.9103910796503,0.09719314323897162,0.012662798496304839,0.10985594173527645,0.3247587331124702,0.04431979473706693,0.3690785278495371,31542.594490778494,504.333043550653,30,-30,659.9999999999999
3.5,-24.930386830529812,6974307.46117379,81174.54585145728,90.05431945954325,7.054468199605768,0.34319518208637306,0.033825994384021014,554.4965298276933,0.8375266339552476,0.8375266339552476,0.39215686274509803,1809.0575293433349,2160.0,200.0,510.0,2009.0575293433349,1809.0575293433349,0.09837190907347977,0.012662798496304839,0.1110347075697846,0.37394468764921013,0.05065119398521935,0.4245958816344294,31101.235927860595,529.3593615156437,30,-30,659.9999999999999
4.0,-24.14931244694915,6974307.286232269,81178.07292128827,90.07123245673526,7.070816918752815,0.3871441282768783,0.037606724142978894,565.9955203211848,0.845124075750862,0.845124075750862,0.39215686274509803,1825.468003621862,2160.0,200.0,510.0,2025.468003621862,1825.468003621862,0.09944916271062318,0.012662798496304839,0.11211196120692801,0.42366926900452173,0.056982593233371764,0.4806518622378934,30746.841059168117,551.5424201520018,30,-30,659.9999999999999
4.5,-23.38429009334184,6974307.0882649915,81181.60808635876,90.09003581880675,7.088607780657452,0.4299217294813009,0.041135842778580234,575.981554421573,0.8519603741398004,0.8519603741398004,0.39215686274509803,1840.234408141969,2160.0,200.0,510.0,2040.234408141969,1840.234408141969,0.10042783565166516,0.012662798496304839,0.11309063414796999,0.4738831868303543,0.06331399248152418,0.5371971793118784,30459.062020030702,571.1761749523434,30,-30,659.9999999999999
5.0,-22.63508620301762,6974306.867734799,81185.152048079,90.11060374019604,7.107662987973504,0.47156058053805905,0.04441893594907956,584.6661626641975,0.8580741555585292,0.8580741555585292,0.39215686274509803,1853.4401760064231,2160.0,200.0,510.0,2053.440176006423,1853.4401760064231,0.10131069683177037,0.012662798496304839,0.1139734953280752,0.5245385352462395,0.0696453917296766,0.5941839269759159,30222.6989024462,588.5303345306177,30,-30,659.9999999999999
5.5,-21.901519905746014,6974306.625094638,81188.70541780157,90.1328132081706,7.127823461103275,0.5120922052828429,0.047461214872623975,592.2267906854911,0.8635000783390739,0.8635000783390739,0.39215686274509803,1865.1601692123998,2160.0,200.0,510.0,2065.1601692123995,1865.1601692123998,0.10210034488643911,0.012662798496304839,0.11476314338274395,0.575588707689459,0.07597679097782901,0.6515654986672879,30026.15728779688,603.849946554167,30,-30,659.9999999999999
6.0,-21.18345461994348,6974306.360787985,81192.26872643578,90.15654381560691,7.148947111929987,0.5515471719689778,0.05026758780473829,598.8131103909261,0.8682691512534324,0.8682691512534324,0.39215686274509803,1875.4613667074138,2160.0,200.0,510.0,2075.461366707414,1875.4613667074138,0.10279921137303424,0.012662798496304839,0.11546200986933908,0.6269883133759762,0.08230819022598143,0.7092965036019574,29860.438752095866,617.3558005846392,30,-30,659.9999999999999
6.5,-20.480790438071853,6974306.075249245,81195.8424331811,90.18167760950928,7.1709071522229975,0.589955192035784,0.05284272159457286,604.5518673560478,0.8724090750322229,0.8724090750322229,0.39215686274509803,1884.4036020696014,2160.0,200.0,510.0,2084.403602069601,1884.4036020696014,0.10340957221569386,0.012662798496304839,0.11607237071199869,0.6786930994838231,0.08863958947413385,0.7673326889579567,29718.45893670313,629.2454249332363,30,-30,659.9999999999999
7.0,-19.793457443560836,6974305.768904136,81199.4269333976,90.20809897030657,7.193590476272293,0.6273452041794981,0.055191094372903926,609.5507017389244,0.8759445895719589,0.8759445895719589,0.39215686274509803,1892.0403134754313,2160.0,200.0,510.0,2092.040313475431,1892.0403134754313,0.10393356487230093,0.012662798496304839,0.11659636336860577,0.7306598819199736,0.09497098872228626,0.8256308706422596,29594.57403163922,639.6944809901349,30,-30,659.9999999999999
7.5,-19.121409438590206,6974305.442170027,81203.02256565196,90.235694517493,7.216896143988086,0.663745445588579,0.05731704042457094,613.9012218307817,0.8788978142473058,0.8788978142473058,0.39215686274509803,1898.4192787741806,2160.0,200.0,510.0,2098.4192787741804,1898.4192787741806,0.10437320908130736,0.012662798496304839,0.11703600757761219,0.7828464864606273,0.10130238797043868,0.8841488744310657,29484.243904464234,648.8583952985001,30,-30,659.9999999999999
8.0,-18.464618787803825,6974305.095456278,81206.62961798994,90.2643530377053,7.2407339799017185,0.6991835118996864,0.059224788079074386,617.681515413786,0.881288572686791,0.881288572686791,0.39215686274509803,1903.5833170034684,2160.0,200.0,510.0,2103.5833170034684,1903.5833170034684,0.10473042943697898,0.012662798496304839,0.11739322793328381,0.8352117011791168,0.1076337872185911,0.9428454883977077,29383.787221227423,656.8741063716195,30,-30,659.9999999999999
8.5,-17.82307158251433,6974304.729164541,81210.24833349427,90.29396543174482,7.265023295207776,0.7336864074992754,0.06091849160935915,620.9582263325789,0.8831346965029688,0.8831346965029688,0.39215686274509803,1907.5709444464126,2160.0,200.0,510.0,2107.570944446413,1907.5709444464126,0.10500707841472115,0.012662798496304839,0.11766987691102598,0.8877152403864774,0.11396518646674351,1.0016804268532207,29290.199975584866,663.8618356532494,30,-30,659.9999999999999
9.0,-17.196763617671373,6974304.343689048,81213.87891519016,90.3244246775495,7.289691733896845,0.7672805874031605,0.06240225781399454,623.7882870078216,0.8844523048596631,0.8844523048596631,0.39215686274509803,1910.4169784968724,2160.0,200.0,510.0,2110.416978496872,1910.4169784968724,0.10520495880030277,0.012662798496304839,0.1178677572966076,0.9403177197866288,0.12029658571489593,1.0606143055015245,29201.018663336476,669.9268187919023,30,-30,659.9999999999999
9.5,-16.585696789401446,6974303.939416881,81217.52153036113,90.3556258064565,7.314674239754057,0.7999919919624608,0.06368016804699392,626.2203735864726,0.88525605852396,0.88525605852396,0.39215686274509803,1912.1530864117537,2160.0,200.0,510.0,2112.1530864117535,1912.1530864117537,0.10532584475990042,0.012662798496304839,0.11798864325620526,0.992980642166579,0.12662798496304836,1.119608627129627,29114.215506533747,675.1609545861471,30,-30,659.9999999999999
10.0,-15.989876065565987,6974303.516728224,81221.1763143363,90.38746589048,7.339912138161698,0.8318460753940122,0.06475629627406712,628.2961341809396,0.8855593883076561,0.8855593883076561,0.39215686274509803,1912.8082787445371,2160.0,200.0,510.0,2112.8082787445373,1912.8082787445371,0.10537150102148483,0.012662798496304839,0.11803429951778967,1.0456663926773213,0.1329593842112008,1.178625776888522,29028.11709765637,679.6443451795024,30,-30,659.9999999999999
10.5,-15.409306886255578,6974303.075996605,81224.843373807,90.41984403861703,7.365352324904379,0.8628678290659524,0.06563472372484433,630.0512293325188,0.8853746986627724,0.8853746986627724,0.39215686274509803,1912.4093491115884,2160.0,200.0,510.0,2112.4093491115887,1912.4093491115884,0.1053436998261571,0.012662798496304839,0.11800649832246193,1.0983382425903998,0.13929078345935322,1.237629026049753,28941.340440758286,683.4467131472246,30,-30,659.9999999999999
11.0,-14.843992847260239,6974302.617589112,81228.52278972686,90.45266140047946,7.390946553250678,0.8930818003206078,0.06631955061325365,631.5162157125261,0.8847135477524863,0.8847135477524863,0.39215686274509803,1910.9812631453703,2160.0,200.0,510.0,2110.9812631453706,1910.9812631453703,0.10524423545622782,0.012662798496304839,0.11790703395253266,1.1509603603185137,0.14562218270750565,1.2965825430260192,28852.742112730186,686.6286898322344,30,-30,659.9999999999999
11.5,-14.293933953620744,6974302.141866617,81232.21461984499,90.48582117578607,7.4166508102476225,0.9225121074794747,0.06681490530416802,632.717298078255,0.8835868056500981,0.8835868056500981,0.39215686274509803,1908.5475002042117,2160.0,200.0,510.0,2108.547500204212,1908.5475002042117,0.10507493626133335,0.012662798496304839,0.11773773475763818,1.2034978284491804,0.15195358195565808,1.3554514104048383,28761.37745863251,689.2429753815509,30,-30,659.9999999999999
12.0,-13.759124904703542,6974301.649183966,81235.91890091733,90.51922862843816,7.442424773235673,0.9511824516865777,0.0671249513561875,633.6769699564148,0.8820047924861445,0.8820047924861445,0.39215686274509803,1905.130351770072,2160.0,200.0,510.0,2105.130351770072,1905.130351770072,0.1048376741906398,0.012662798496304839,0.11750047268694463,1.2559166655445002,0.15828498120381052,1.4142016467483107,28666.46756041425,691.3353750253071,30,-30,659.9999999999999
12.5,-13.239553832269305,6974301.139890177,81239.63565063672,90.55279110411625,7.468231337937515,0.9791161260051586,0.06725389266053433,634.414560000287,0.8799773984149417,0.8799773984149417,0.39215686274509803,1900.7511805762742,2160.0,200.0,510.0,2100.7511805762742,1900.7511805762742,0.10453437190345866,0.012662798496304839,0.11719717039976349,1.3081838514962296,0.16461638045196295,1.4728002319481925,28567.372299123588,692.9457187317652,30,-30,659.9999999999999
13.0,-12.735201219601338,6974300.614328617,81243.36486931803,90.58641805044651,7.4940362099900595,1.0063360222590156,0.06720597700137004,634.9466981734158,0.8775141872441126,0.8775141872441126,0.39215686274509803,1895.4306444472832,2160.0,200.0,510.0,2095.430644447283,1895.4306444472832,0.10416700757711446,0.012662798496304839,0.11682980607341929,1.3602673552847868,0.17094777970011538,1.5312151349849021,28463.56824530936,694.1086728640179,30,-30,659.9999999999999
13.5,-12.24603902599472,6974300.072837178,81247.10654137039,90.62002103894721,7.519807552403928,1.032864635970582,0.06698549824827439,635.2877136608894,0.874624485490366,0.874624485490366,0.39215686274509803,1889.1888886591905,2160.0,200.0,510.0,2089.1888886591905,1889.1888886591905,0.10373761756335038,0.012662798496304839,0.11640041605965522,1.412136164066462,0.1772791789482678,1.5894153430147298,28354.63041229389,694.8544531687483,30,-30,659.9999999999999
14.0,-11.772029936075121,6974299.515748437,81250.86063658491,90.65351378807134,7.545515682093351,1.05872406971248,0.06659679737669057,635.4499745676516,0.8713174585127783,0.8713174585127783,0.39215686274509803,1882.045710387601,2160.0,200.0,510.0,2082.045710387601,1882.045710387601,0.10324829706617496,0.012662798496304839,0.11591109556247979,1.4637603125995495,0.18361057819642024,1.6473708907959697,28240.217126920576,695.2094485821483,30,-30,659.9999999999999
14.5,-11.313126829382107,6974298.943389815,81254.62711126295,90.68681218675968,7.571132809285599,1.0839360351263623,0.06604426246622562,635.4441779394592,0.8676021752453319,0.8676021752453319,0.39215686274509803,1874.020698529917,2160.0,200.0,510.0,2074.020698529917,1874.020698529917,0.10270119902732419,0.012662798496304839,0.11536399752362902,1.5151109121132116,0.18994197744457267,1.7050528895577841,28120.05743565206,695.1967651217025,30,-30,659.9999999999999
